party,region,name,twitter,uri
Labour Party,West Midlands,Neena Gill,neenaformep,http://dbpedia.org/resource/Neena_Gill
Labour Party,West Midlands,Siôn Simon,sionsimon,http://dbpedia.org/resource/Si%C3%B4n_Simon
Labour Party,West Midlands,Lynda Waltho,LW4WM,http://dbpedia.org/resource/Lynda_Waltho
Labour Party,West Midlands,Ansar Ali Khan,ansar_ali_khan
Labour Party,West Midlands,Olwen Hamer,OlwenHamer
Labour Party,West Midlands,Tony Ethapemi,
Labour Party,West Midlands,Philippa Roberts,
Labour Party,Scotland,David Martin,davidmartinmep,http://dbpedia.org/resource/David_Martin_(Scottish_politician)
Labour Party,Scotland,Catherine Stihler,C_Stihler_MEP,http://dbpedia.org/resource/Catherine_Stihler
Labour Party,Scotland,Derek Munn,Derek4Europe
Labour Party,Scotland,Katrina Murray,katrinamurray71
Labour Party,Scotland,Asim Khan,asim_rel
Labour Party,Scotland,Kirsty O'Brien,Coisty_OB
Labour Party,East Midlands,Glenis Willmott,GlenisWillmott,http://dbpedia.org/resource/Glenis_Willmott
Labour Party,East Midlands,Rory Palmer,Rory_Palmer
Labour Party,East Midlands,Linda Woodings,LindaWoodings
Labour Party,East Midlands,Khalid Hadadi,
Labour Party,East Midlands,Nicki Brooks,NickiBrooksx
Labour Party,South East England,Anneliese Dodds,AnnelieseDodds
Labour Party,South East England,John Howarth,johnhowarth1958
Labour Party,South East England,Emily Westley,emilywestley
Labour Party,South East England,James Swindlehurst,jamesswindy
Labour Party,South East England,Farah Nazeer,FarahNazeer
Labour Party,South East England,James Watkins,watkins_js
Labour Party,South East England,Maggie Hughes,EUMaggie_Hughes
Labour Party,South East England,Christopher Clark,
Labour Party,South East England,Karen Landles,karenlandles
Labour Party,South East England,Tracey Hill,
Labour Party,London,Claude Moraes,ClaudeMoraesMEP
Labour Party,London,Mary Honeyball,maryhoneyball
Labour Party,London,Lucy Anderson,Lucy4MEP
Labour Party,London,Seb Dance,SebDance
Labour Party,London,Ivana Bartoletti,IvanaBartoletti
Labour Party,London,Kamaljeet Jandu,KamaljeetJandu
Labour Party,London,Sanchia Alasia,sanchia4europe
Labour Party,London,Andrea Biondi,biondi4europe
Labour Party,Wales,Derek Vaughan,derekvaughan,http://dbpedia.org/resource/Derek_Vaughan
Labour Party,Wales,Jayne Bryant,
Labour Party,Wales,Alex Thomas,
Labour Party,Wales,Christina Rees,ReesEurope
Labour Party,South West England,Clare Moody,ClareMMoody
Labour Party,South West England,Glyn Ford,
Labour Party,South West England,Ann Reeder,SomersetAnn
Labour Party,South West England,Hadleigh Roberts,HadleighRoberts
Labour Party,South West England,Jude Robinson,Juderobinson
Labour Party,South West England,Junab Ali,junabali
4 Freedoms Party,London,Dirk Hazell,
4 Freedoms Party,London,NoelleAnne O’Sullivan,
4 Freedoms Party,London,Geoff Gibas,
4 Freedoms Party,London,Aline Doussin,
4 Freedoms Party,London,Andrew Bell,
4 Freedoms Party,London,Deborah Phillips,
4 Freedoms Party,London,Royston Flude,
4 Freedoms Party,London,Brendan Donnelly,
Harmony Party,South East England,Terry leach,
Harmony Party,South East England,Raymond Crick,
Harmony Party,London,David Vincent,
Harmony Party,East Midlands,Steve Ward,
Harmony Party,West Midlands,Reg Mahrra,
Animal Welfare Party,London,Vanessa Hudson,
Animal Welfare Party,London,Alexander Bourke,
Animal Welfare Party,London,Kirsteen Williamson-Guinn,
Animal Welfare Party,London,Andrew Knight,
Animal Welfare Party,London,Dimple Patel,
Animal Welfare Party,London,Meg Mathews,
Animal Welfare Party,London,Guy Dessoy,
Animal Welfare Party,London,Ranjan Joshi,
Democratic Unionist Party,Northern Ireland,Diane Dodds,DianeDoddsMEP,http://dbpedia.org/resource/Diane_Dodds
Scottish Green Party,Scotland,Maggie Chapman,MaggieEdinburgh
Scottish Green Party,Scotland,Chas Booth,CllrChasBooth
Scottish Green Party,Scotland,Grace Murray,
Scottish Green Party,Scotland,Alastair Whitelaw,
Scottish Green Party,Scotland,Anne Thomas,
Scottish Green Party,Scotland,Steen Parish,steenparish
The Peace Party,South East England,John Morris,
The Peace Party,South East England,Jim Duggan,
The Peace Party,South East England,Julie Roxburgh,
The Peace Party,South East England,Jeff Bolam,
The Peace Party,South East England,Geoff Pay,
The Peace Party,South East England,David Brown,
The Peace Party,South East England,Keith Scott,
The Peace Party,South East England,Imdad Hussain,
The Peace Party,South East England,Munim Choudhury,
The Peace Party,South East England,Charles Wilkinson,
Traditional Unionist Voice,Northern Ireland,Jim Allister,JimAllister,http://dbpedia.org/resource/Jim_Allister
Ulster Unionist Party,Northern Ireland,Jim Nicholson,JNicholsonMEP
We Demand a Referendum,West Midlands,Nikki Sinclaire,NSinclaireMEP,,http://dbpedia.org/resource/Nikki_Sinclaire
We Demand a Referendum,West Midlands,Andy Adris,
We Demand a Referendum,West Midlands,Linda Brown,
We Demand a Referendum,West Midlands,David Bennett,
We Demand a Referendum,West Midlands,Judith Smart,
We Demand a Referendum,West Midlands,Thomas Reid,
We Demand a Referendum,West Midlands,Amanda Wilson,
UKIP,North East England,Jonathan Arnott,JonathanArnott,http://dbpedia.org/resource/Jonathan_Arnott
UKIP,North East England,Richard Elvin,globalrichard
UKIP,North East England,Philip Broughton,
UKIP,Yorkshire and the Humber,Jane Collins,Jane4ukip
UKIP,Yorkshire and the Humber,Amjad Bashir,
UKIP,Yorkshire and the Humber,Mike Hookem,Mike_Hookem
UKIP,Yorkshire and the Humber,Gary Shores,
UKIP,Yorkshire and the Humber,Jason Smith,JasonSmithUKIP
UKIP,Yorkshire and the Humber,Anne Murgatroyd,
UKIP,East of England,Patrick O'Flynn,
UKIP,East of England,Stuart Agnew,,http://dbpedia.org/resource/Stuart_Agnew
UKIP,East of England,Tim Aker,Tim_Aker
UKIP,East of England,Michael Heaver,Michael_Heaver
UKIP,East of England,Mick McGough,mickmcgough
UKIP,East of England,Andy Monk,
UKIP,East of England,Mark Hughes,MarkJHughes
UKIP,North West England,Paul Nuttall,paulnuttallukip,http://dbpedia.org/resource/Paul_Nuttall
UKIP,North West England,Louise Bours,
UKIP,North West England,Steven Woolfe,Steven_Woolfe
UKIP,North West England,Shneur Odze,ShneurOdzeUKIP
UKIP,North West England,Lee Slaughter,
UKIP,North West England,Simon Noble,NibsNoble
UKIP,North West England,Peter Harper,
UKIP,North West England,John Stanyer,
UKIP,West Midlands,Jill Seymour,JSeymourUKIP
UKIP,West Midlands,James Carver,JamesJimCarver
UKIP,West Midlands,Bill Etheridge,milroy666
UKIP,West Midlands,Phil Henrick,philhenrick
UKIP,West Midlands,Michael Wrench,
UKIP,West Midlands,Michael Green,MikeGreenUKIP
UKIP,West Midlands,Lyndon Jones,
UKIP,Scotland,David Coburn,DavidCoburnUKip
UKIP,Scotland,Kevin Newton,KevinNewtonUKIP
UKIP,Scotland,Otto Inglis,OttoInglis
UKIP,Scotland,Denise Baykal,UKIPCowdenbeath
UKIP,Scotland,Hugh Hatrick,hughhatrick
UKIP,Scotland,Malcolm Mackay,
UKIP,East Midlands,Roger Helmer,RogerHelmerMEP,http://dbpedia.org/resource/Roger_Helmer
UKIP,East Midlands,Margot Parker,MargotLJParker
UKIP,East Midlands,Jonathan Bullock,
UKIP,East Midlands,Nigel Wickens,NigelWickens
UKIP,East Midlands,Barry Mahoney,
UKIP,London,Gerard Batten,GerardBattenMEP,http://dbpedia.org/resource/Gerard_Batten
UKIP,London,Paul Oakley,PaulJamesOakley
UKIP,London,Elizabeth Jones,UKIPbrixtonHill
UKIP,London,Lawrence Webb,UKIPWebb4London
UKIP,London,Alastair McFarlane,
UKIP,London,Anthony Brown,libertariantony
UKIP,London,Andrew McNeilis,andrewmcneilis
UKIP,London,Peter Whittle,
UKIP,South East England,Nigel Farage,Nigel_Farage,http://dbpedia.org/resource/Nigel_Farage
UKIP,South East England,Janice Atkinson,JaniceUKIP
UKIP,South East England,Diane James,DianeUKIP
UKIP,South East England,Ray Finch,raymondfinch
UKIP,South East England,Donna Edmunds,DonnaInSussex
UKIP,South East England,Patricia Culligan,CulliganPA
UKIP,South East England,Nigel Jones,
UKIP,South East England,Alan Stevens,AWAHStevens
UKIP,South East England,Simon Strutt,
UKIP,South East England,Barry Cooper,waddesdonbaz
UKIP,Northern Ireland,Henry Reilly,HenryReillyukip
UKIP,Wales,Nathan Gill,NathanGillMEP
UKIP,Wales,James Cole,
UKIP,Wales,Caroline Jones,
UKIP,Wales,David Rowlands,
UKIP,South West England,William Dartmouth,
UKIP,South West England,Julia Reid,Julia__Reid
UKIP,South West England,Gawain Towler,GawainTowler
UKIP,South West England,Tony McIntyre,
UKIP,South West England,Robert Smith,
UKIP,South West England,Keith Crawford,
Scottish National Party,Scotland,Ian Hudghton,hudghtonmepSNP,http://dbpedia.org/resource/Ian_Hudghton
Scottish National Party,Scotland,Alyn Smith,AlynSmithMEP,http://dbpedia.org/resource/Alyn_Smith
Scottish National Party,Scotland,Tasmina Ahmed-Sheikh,TasminaSheikh
Scottish National Party,Scotland,Stephen Gethins,StephenGethins
Scottish National Party,Scotland,Toni Giugliano,ToniGiugliano
Scottish National Party,Scotland,Chris Stephens,CStephenssnp
Plaid Cymru,Wales,Jill Evans,JillEvansMEP,http://dbpedia.org/resource/Jillian_Evans
Plaid Cymru,Wales,Marc Jones,marcvjones
Plaid Cymru,Wales,Stephen Cornelius,
Plaid Cymru,Wales,Ioan Bellin,Ioanbellin
English Democrats,North East England,Kevin Riddiough,kev927riddy
English Democrats,North East England,Sam Kelly,
English Democrats,North East England,John Lewis,
English Democrats,Yorkshire and the Humber,Chris Beverley,chrisbeverley
English Democrats,Yorkshire and the Humber,David Wildgoose,EnglishGoose
English Democrats,Yorkshire and the Humber,Ian Sutton,
English Democrats,Yorkshire and the Humber,Colin Porter,
English Democrats,Yorkshire and the Humber,Tom Redmond,
